time (ms),Δθ (π),σ_θ (π)
91.889,-0.591,2.443e-03
92.089,-0.601,2.451e-03
92.289,-0.611,2.456e-03
92.488,-0.621,2.440e-03
92.688,-0.631,2.461e-03
92.888,-0.641,2.444e-03
93.088,-0.651,2.449e-03
93.288,-0.661,2.458e-03
93.488,-0.671,2.439e-03
93.688,-0.681,2.460e-03
93.888,-0.691,2.446e-03
94.087,-0.701,2.448e-03
94.287,-0.711,2.459e-03
94.487,-0.721,2.439e-03
94.687,-0.731,2.459e-03
94.887,-0.741,2.447e-03
95.087,-0.751,2.446e-03
95.287,-0.761,2.460e-03
95.486,-0.771,2.439e-03
95.686,-0.781,2.458e-03
95.886,-0.791,2.449e-03
96.086,-0.801,2.445e-03
96.286,-0.811,2.461e-03
96.486,-0.821,2.439e-03
96.686,-0.831,2.457e-03
96.886,-0.841,2.451e-03
97.085,-0.851,2.443e-03
97.285,-0.861,2.461e-03
97.485,-0.871,2.440e-03
97.685,-0.881,2.455e-03
97.885,-0.891,2.452e-03
98.085,-0.901,2.442e-03
98.285,-0.911,2.461e-03
98.484,-0.921,2.441e-03
98.684,-0.931,2.454e-03
98.884,-0.941,2.454e-03
99.084,-0.951,2.441e-03
99.284,-0.960,2.461e-03
99.484,-0.971,2.442e-03
99.684,-0.981,2.452e-03
99.884,-0.990,2.456e-03
100.083,-1.000,2.440e-03
100.283,-1.011,2.461e-03
100.483,-1.020,2.443e-03
100.683,-1.030,2.450e-03
100.883,-1.041,2.457e-03
101.083,-1.050,2.439e-03
101.283,-1.060,2.461e-03
101.482,-1.070,2.445e-03
101.682,-1.080,2.449e-03
101.882,-1.090,2.458e-03
102.082,-1.100,2.439e-03
102.282,-1.110,2.460e-03
102.482,-1.120,2.446e-03
102.682,-1.130,2.447e-03
102.882,-1.140,2.459e-03
103.081,-1.150,2.439e-03
103.281,-1.160,2.459e-03
103.481,-1.170,2.448e-03
103.681,-1.180,2.445e-03
103.881,-1.190,2.460e-03
104.081,-1.200,2.439e-03
104.281,-1.210,2.458e-03
104.480,-1.220,2.450e-03
104.680,-1.230,2.444e-03
104.880,-1.240,2.461e-03
105.080,-1.250,2.440e-03
105.280,-1.260,2.456e-03
105.480,-1.270,2.451e-03
105.680,-1.280,2.443e-03
105.880,-1.290,2.461e-03
106.079,-1.300,2.440e-03
106.279,-1.310,2.455e-03
106.479,-1.320,2.453e-03
106.679,-1.330,2.441e-03
106.879,-1.340,2.461e-03
