time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
2.23e+02,4.38e+01,-5.22e-07,1.35e-03,-4.04e-05,4.25e+01
2.24e+02,4.32e+01,-5.40e-07,1.35e-03,-3.77e-05,4.25e+01
2.25e+02,4.27e+01,-5.58e-07,1.35e-03,-3.44e-05,4.25e+01
2.26e+02,4.21e+01,-5.75e-07,1.35e-03,-3.07e-05,4.25e+01
2.27e+02,4.15e+01,-5.92e-07,1.35e-03,-2.67e-05,4.25e+01
2.28e+02,4.09e+01,-6.08e-07,1.35e-03,-2.24e-05,4.25e+01
2.29e+02,4.03e+01,-6.23e-07,1.35e-03,-1.79e-05,4.25e+01
2.30e+02,3.97e+01,-6.38e-07,1.35e-03,-1.33e-05,4.25e+01
2.31e+02,3.91e+01,-6.53e-07,1.35e-03,-8.75e-06,4.25e+01
2.32e+02,3.84e+01,-6.66e-07,1.35e-03,-4.31e-06,4.25e+01
2.33e+02,3.77e+01,-6.79e-07,1.35e-03,-7.76e-08,4.25e+01
2.34e+02,3.70e+01,-6.91e-07,1.35e-03,3.86e-06,4.25e+01
2.35e+02,3.63e+01,-7.03e-07,1.34e-03,7.43e-06,4.25e+01
2.36e+02,3.56e+01,-7.13e-07,1.34e-03,1.06e-05,4.25e+01
2.37e+02,3.49e+01,-7.24e-07,1.34e-03,1.32e-05,4.25e+01
2.38e+02,3.42e+01,-7.33e-07,1.34e-03,1.52e-05,4.25e+01
2.39e+02,3.35e+01,-7.41e-07,1.34e-03,1.67e-05,4.25e+01
2.40e+02,3.27e+01,-7.49e-07,1.34e-03,1.76e-05,4.25e+01
2.41e+02,3.20e+01,-7.57e-07,1.34e-03,1.79e-05,4.25e+01
2.42e+02,3.12e+01,-7.63e-07,1.35e-03,1.75e-05,4.25e+01
2.43e+02,3.05e+01,-7.69e-07,1.35e-03,1.67e-05,4.25e+01
2.44e+02,2.97e+01,-7.74e-07,1.35e-03,1.52e-05,4.25e+01
2.45e+02,2.89e+01,-7.78e-07,1.35e-03,1.33e-05,4.25e+01
2.46e+02,2.81e+01,-7.81e-07,1.35e-03,1.10e-05,4.25e+01
2.47e+02,2.74e+01,-7.84e-07,1.35e-03,8.32e-06,4.25e+01
2.48e+02,2.66e+01,-7.86e-07,1.35e-03,5.39e-06,4.25e+01
