time (ms),Δθ (π),σ_θ (π)
79.299,-1.965,3.371e-03
79.498,-1.968,2.971e-03
79.698,-1.980,3.794e-03
79.898,-1.995,2.861e-03
80.098,-0.000,3.539e-03
80.298,-0.008,3.451e-03
80.498,-0.024,2.938e-03
80.698,-0.032,3.807e-03
80.897,-0.037,2.924e-03
81.097,-0.052,3.490e-03
81.297,-0.064,3.525e-03
81.497,-0.068,2.913e-03
81.697,-0.080,3.813e-03
81.897,-0.095,2.994e-03
82.097,-0.100,3.438e-03
82.297,-0.108,3.594e-03
82.496,-0.124,2.899e-03
82.696,-0.132,3.809e-03
82.896,-0.137,3.068e-03
83.096,-0.153,3.385e-03
83.296,-0.164,3.656e-03
83.496,-0.168,2.895e-03
83.696,-0.181,3.799e-03
83.896,-0.195,3.146e-03
84.095,-0.199,3.333e-03
84.295,-0.209,3.711e-03
84.495,-0.225,2.903e-03
84.695,-0.231,3.780e-03
84.895,-0.237,3.225e-03
85.095,-0.253,3.283e-03
85.295,-0.263,3.758e-03
85.494,-0.267,2.920e-03
85.694,-0.281,3.756e-03
85.894,-0.294,3.304e-03
86.094,-0.298,3.236e-03
86.294,-0.309,3.797e-03
86.494,-0.325,2.949e-03
86.694,-0.330,3.725e-03
86.894,-0.338,3.382e-03
87.093,-0.354,3.194e-03
87.293,-0.362,3.828e-03
87.493,-0.367,2.986e-03
87.693,-0.382,3.690e-03
87.893,-0.394,3.458e-03
88.093,-0.398,3.157e-03
88.293,-0.410,3.850e-03
88.493,-0.425,3.032e-03
88.692,-0.430,3.650e-03
88.892,-0.438,3.530e-03
89.092,-0.454,3.128e-03
89.292,-0.462,3.865e-03
89.492,-0.467,3.085e-03
89.692,-0.482,3.608e-03
89.892,-0.494,3.598e-03
90.091,-0.498,3.106e-03
90.291,-0.510,3.872e-03
90.491,-0.524,3.145e-03
90.691,-0.529,3.564e-03
90.891,-0.538,3.660e-03
91.091,-0.554,3.092e-03
91.291,-0.561,3.872e-03
91.491,-0.567,3.208e-03
91.690,-0.583,3.519e-03
91.890,-0.593,3.717e-03
92.090,-0.597,3.088e-03
92.290,-0.611,3.865e-03
92.490,-0.624,3.275e-03
92.690,-0.629,3.475e-03
92.890,-0.639,3.767e-03
93.090,-0.654,3.093e-03
93.289,-0.661,3.851e-03
93.489,-0.667,3.344e-03
93.689,-0.683,3.432e-03
93.889,-0.693,3.811e-03
94.089,-0.697,3.107e-03
94.289,-0.711,3.831e-03
94.489,-0.724,3.412e-03
94.689,-0.728,3.392e-03
94.888,-0.739,3.847e-03
95.088,-0.754,3.130e-03
95.288,-0.760,3.806e-03
95.488,-0.768,3.481e-03
95.688,-0.783,3.356e-03
95.888,-0.792,3.877e-03
96.088,-0.797,3.161e-03
96.287,-0.811,3.777e-03
96.487,-0.824,3.547e-03
96.687,-0.828,3.325e-03
96.887,-0.839,3.899e-03
97.087,-0.854,3.199e-03
97.287,-0.860,3.744e-03
97.487,-0.868,3.611e-03
97.687,-0.883,3.299e-03
97.886,-0.891,3.914e-03
98.086,-0.897,3.243e-03
98.286,-0.912,3.709e-03
98.486,-0.923,3.670e-03
98.686,-0.928,3.281e-03
98.886,-0.940,3.922e-03
99.086,-0.954,3.292e-03
99.286,-0.959,3.672e-03
99.485,-0.968,3.726e-03
99.685,-0.984,3.269e-03
99.885,-0.991,3.924e-03
100.085,-0.997,3.346e-03
100.285,-1.012,3.635e-03
100.485,-1.023,3.776e-03
100.685,-1.027,3.265e-03
100.884,-1.040,3.920e-03
101.084,-1.054,3.402e-03
101.284,-1.059,3.598e-03
101.484,-1.069,3.821e-03
101.684,-1.084,3.269e-03
101.884,-1.090,3.909e-03
102.084,-1.097,3.460e-03
102.284,-1.113,3.562e-03
102.483,-1.122,3.861e-03
102.683,-1.127,3.280e-03
102.883,-1.141,3.894e-03
103.083,-1.153,3.519e-03
103.283,-1.158,3.529e-03
103.483,-1.169,3.894e-03
103.683,-1.184,3.298e-03
103.883,-1.190,3.874e-03
104.082,-1.198,3.577e-03
104.282,-1.213,3.499e-03
104.482,-1.222,3.921e-03
104.682,-1.227,3.323e-03
104.882,-1.241,3.851e-03
105.082,-1.253,3.634e-03
105.282,-1.258,3.474e-03
105.481,-1.269,3.942e-03
105.681,-1.284,3.354e-03
105.881,-1.289,3.824e-03
106.081,-1.298,3.689e-03
106.281,-1.313,3.453e-03
106.481,-1.321,3.956e-03
106.681,-1.327,3.391e-03
106.881,-1.342,3.796e-03
107.080,-1.353,3.741e-03
107.280,-1.357,3.437e-03
107.480,-1.370,3.965e-03
107.680,-1.383,3.431e-03
107.880,-1.389,3.766e-03
108.080,-1.398,3.789e-03
108.280,-1.413,3.428e-03
108.480,-1.421,3.968e-03
108.679,-1.427,3.476e-03
108.879,-1.442,3.735e-03
109.079,-1.452,3.833e-03
109.279,-1.457,3.424e-03
109.479,-1.470,3.966e-03
109.679,-1.483,3.522e-03
109.879,-1.488,3.705e-03
110.078,-1.498,3.872e-03
110.278,-1.513,3.427e-03
110.478,-1.520,3.959e-03
110.678,-1.527,3.571e-03
110.878,-1.542,3.677e-03
111.078,-1.552,3.907e-03
111.278,-1.557,3.436e-03
111.478,-1.571,3.948e-03
111.677,-1.583,3.620e-03
111.877,-1.588,3.650e-03
112.077,-1.599,3.936e-03
112.277,-1.613,3.450e-03
112.477,-1.619,3.932e-03
112.677,-1.627,3.669e-03
112.877,-1.642,3.625e-03
113.077,-1.651,3.960e-03
113.276,-1.657,3.470e-03
113.476,-1.671,3.914e-03
113.676,-1.683,3.716e-03
113.876,-1.688,3.605e-03
114.076,-1.699,3.979e-03
114.276,-1.713,3.495e-03
